university_name,program_name,degree,tuition_fee_usd_total,program_duration_year,global_ranking,university_location,url
Technische Universität Berlin,Global Production Engineering,MSc,18176,2,N/A,"Berlin, Germany",https://www.study.eu/university/technische-universitat-berlin/msc-global-production-engineering
Windesheim University of Applied Sciences,Global Project and Change Management,BBA,43702,4,N/A,"Zwolle, Netherlands",https://www.study.eu/university/windesheim-university-of-applied-sciences/bba-global-project-and-change-management
Radboud University,"Historical, Literary and Cultural Studies (research)",MA,35327,2,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/ma-historical-literary-and-cultural-studies-research
Radboud University,Historical Studies,MA,35327,2,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/ma-historical-studies-12051
Radboud University,History: Ancient and Medieval Mediterranean Worlds,MA,22131,1,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/ma-history-ancient-and-medieval-mediterranean-worlds
SRH University,Hospitality Management & Leadership,MA,18381,,N/A,"Dresden, Germany",https://www.study.eu/university/srh-university/ma-hospitality-management-leadership
University of Technology Nuremberg,Human and Artificial Intelligence,Master,,2,N/A,"Nuremberg, Germany",https://www.study.eu/university/university-of-technology-nuremberg/master-human-and-artificial-intelligence
Radboud University,Human Geography,MSc,22131,1,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/msc-human-geography
Anglo-American University,"Humanities, Society and Culture: Sociology, Psychology and Leadership",BA,36679,,N/A,"Prague, Czech Republic",https://www.study.eu/university/anglo-american-university/ba-humanities-society-and-culture-sociology-psychology-and-l
Modul University Vienna,Human Resources Management,BSc,63323,3,N/A,"Vienna, Austria",https://www.study.eu/university/modul-university-vienna/bsc-human-resources-management
Central European University (CEU),Human Rights,MA,14071,1,N/A,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/ma-human-rights
Radboud University,Information Sciences,MSc,29819,1,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/msc-information-sciences
TSI Transport and Telecommunication Institute,Intelligent Transport and Smart Logistics,MSc,,,N/A,"Riga, Latvia",https://www.study.eu/university/tsi-transport-and-telecommunication-institute/msc-intelligent-transport-and-smart-logistics
Chalmers University of Technology,Interaction Design and Technologies,MSc,30198,,N/A,"Gothenburg, Sweden",https://www.study.eu/university/chalmers-university-of-technology/msc-interaction-design-and-technologies
Radboud University,International and European Law,LLM,22131,1,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/llm-international-and-european-law
University of Szeged,International and European Trade and Investment Law,LLM,5628,,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/llm-international-and-european-trade-and-investment-law
Windesheim University of Applied Sciences,International Business,BBA,43702,4,N/A,"Zwolle, Netherlands",https://www.study.eu/university/windesheim-university-of-applied-sciences/bba-international-business-18477
Radboud University,International Business Administration,BSc,48523,3,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/bsc-international-business-administration-5859
