university_name,program_name,degree,tuition_fee_usd_total,program_duration,global_ranking,university_location,url
University of St Andrews,Artificial Intelligence,MSc,"30,802 USD in total (students from outside EU/EEA)",1 year full-time / part-time,N/A,"St Andrews, United Kingdom",https://www.study.eu/university/university-of-st-andrews/artificial-intelligence-5099
University of Essex,Artificial Intelligence,BSc,"95,450 USD in total (students from outside EU/EEA)",3 years full-time,N/A,"Colchester, United Kingdom",https://www.study.eu/university/university-of-essex/bsc-artificial-intelligence-29220
École Polytechnique,Artificial Intelligence & advanced Visual Computing,MSc,N/A,2 years (140 ECTS),N/A,"Paris, France",https://www.study.eu/university/ecole-polytechnique/artificial-intelligence-advanced-visual-computing
University of Sussex,Artificial Intelligence and Adaptive Systems,MSc,N/A,N/A,N/A,"Brighton, United Kingdom",https://www.study.eu/university/university-of-sussex/msc-artificial-intelligence-and-adaptive-systems
Northeastern University London,Artificial Intelligence and Computer Science,MSc,"33,217 USD in total (students from outside EU/EEA)",1 year full-time / part-time,N/A,"London, United Kingdom",https://www.study.eu/university/northeastern-university-london/msc-artificial-intelligence-and-computer-science
Alpen-Adria-Universität Klagenfurt,Artificial Intelligence and Cybersecurity,MSc,N/A,2 years (120 ECTS),N/A,"Klagenfurt, Austria",https://www.study.eu/university/alpen-adria-universitat-klagenfurt/msc-artificial-intelligence-and-cybersecurity
University of Pisa,Artificial Intelligence and Data Engineering,MSc,N/A,N/A,N/A,"Pisa, Italy",https://www.study.eu/university/university-of-pisa/artificial-intelligence-and-data-engineering
Deggendorf Institute of Technology,Artificial Intelligence and Data Science,MSc,N/A,2 years full-time,N/A,"Deggendorf, Germany + 1 more campus",https://www.study.eu/university/deggendorf-institute-of-technology/msc-artificial-intelligence-and-data-science
Keele University,Artificial Intelligence and Data Science,MSc,N/A,1 year,N/A,"Keele, United Kingdom",https://www.study.eu/university/keele-university/artificial-intelligence-and-data-science
Heinrich Heine University Düsseldorf,Artificial Intelligence and Data Science,MSc,N/A,2 years full-time,N/A,"Düsseldorf, Germany",https://www.study.eu/university/heinrich-heine-university-dusseldorf/msc-artificial-intelligence-and-data-science-12127838-7447-4657-9306-04aa1ceb3a34
Northeastern University London,Artificial Intelligence and Data Science,MSc,N/A,1 year and 9 months,N/A,United Kingdom – programme delivered online,https://www.study.eu/university/northeastern-university-london/msc-artificial-intelligence-and-data-science-29752
Czestochowa University of Technology,Artificial Intelligence and Data Science,MSc,N/A,N/A,N/A,"Czestochowa, Poland",https://www.study.eu/university/czestochowa-university-of-technology/msc-artificial-intelligence-and-data-science-27351
University of Westminster,Artificial Intelligence and Digital Health,MSc,"24,012 USD in total (students from outside EU/EEA)",1 year,N/A,"London, United Kingdom",https://www.study.eu/university/university-of-westminster/msc-artificial-intelligence-and-digital-health
Eindhoven University of Technology,Artificial Intelligence and Engineering Systems,MSc,N/A,3 years full-time,N/A,"Eindhoven, Netherlands",https://www.study.eu/university/eindhoven-university-of-technology/msc-artificial-intelligence-and-engineering-systems
VU Amsterdam,Artificial Intelligence and Governance,Master,N/A,1 year (60 ECTS) full-time,N/A,"Amsterdam, Netherlands",https://www.study.eu/university/vu-amsterdam/master-artificial-intelligence-and-governance
University of Agder,Artificial Intelligence and Internet of Things,Master,N/A,2 years (120 ECTS) full-time / part-time,N/A,"Grimstad, Norway",https://www.study.eu/university/university-of-agder/master-artificial-intelligence-and-internet-of-things
TU Darmstadt,Artificial Intelligence and Machine Learning,MSc,N/A,2 years full-time,N/A,"Darmstadt, Germany",https://www.study.eu/university/tu-darmstadt/msc-artificial-intelligence-and-machine-learning
Queen Mary University of London,Artificial Intelligence and Machine Learning in Science,MSc,N/A,1 year full-time,N/A,"London, United Kingdom",https://www.study.eu/university/queen-mary-university-of-london/msc-artificial-intelligence-and-machine-learning-in-science
Sapienza University of Rome,Artificial Intelligence and Robotics,Master,"2,307 USD in total (students from outside EU/EEA)",2 years,N/A,"Rome, Italy",https://www.study.eu/university/sapienza-university-of-rome/artificial-intelligence-and-robotics
VU Amsterdam,Artificial Intelligence: Cognitive Science,Master,N/A,2 years (120 ECTS) full-time,N/A,"Amsterdam, Netherlands",https://www.study.eu/university/vu-amsterdam/master-artificial-intelligence-cognitive-science
University of Edinburgh,Artificial Intelligence & Computer Science,BSc (Hons),"147,011 USD in total (students from outside EU/EEA)",4 years full-time,N/A,"Edinburgh, United Kingdom",https://www.study.eu/university/university-of-edinburgh/artificial-intelligence-computer-science
Northeastern University London,Artificial Intelligence & Data Analytics,MSc,"33,217 USD in total (students from outside EU/EEA)",1 year full-time / part-time,N/A,"London, United Kingdom",https://www.study.eu/university/northeastern-university-london/msc-artificial-intelligence-data-analytics
Frankfurt School of Finance & Management,Artificial Intelligence & Data Science,Master,N/A,2 years (120 ECTS),N/A,"Frankfurt am Main, Germany",https://www.study.eu/university/frankfurt-school-of-finance-management/master-artificial-intelligence-data-science
University of West Attica,Artificial Intelligence & Deep Learning,MSc,N/A,1.5 years (90 ECTS) full-time,N/A,"Athens, Greece",https://www.study.eu/university/university-of-west-attica/msc-artificial-intelligence-deep-learning
Burgundy School of Business (BSB),Artificial Intelligence & Digital Technology Management,MSc,"16,154 USD in total (students from outside EU/EEA)",1 year,N/A,"Dijon, France",https://www.study.eu/university/burgundy-school-of-business-bsb/artificial-intelligence-digital-technology-management
European University Cyprus,Artificial Intelligence (Distance Learning),Master,N/A,1.5 years,N/A,Cyprus – programme delivered online,https://www.study.eu/university/european-university-cyprus/master-artificial-intelligence-distance-learning
Northeastern University London,Artificial Intelligence & Ethics,MSc,"33,217 USD in total (students from outside EU/EEA)",1 year full-time / part-time,N/A,"London, United Kingdom",https://www.study.eu/university/northeastern-university-london/msc-artificial-intelligence-ethics
University of Würzburg,Artificial Intelligence & Extended Reality,MSc,N/A,2 years full-time,N/A,"Würzburg, Germany",https://www.study.eu/university/university-of-wurzburg/extended-artificial-intelligence-xtai
Queen Mary University of London,Artificial Intelligence for Drug Discovery,MSc,N/A,1 year full-time,N/A,"London, United Kingdom",https://www.study.eu/university/queen-mary-university-of-london/msc-artificial-intelligence-for-drug-discovery
EPITA,Artificial Intelligence for Marketing Strategy,MSc,"22,385 USD in total (students from outside EU/EEA)",1.5 years,N/A,"Paris, France",https://www.study.eu/university/epita/artificial-intelligence-for-marketing-strategy
Technische Universität Braunschweig,Artificial Intelligence for Molecular Sciences,Master,N/A,2 years,N/A,"Braunschweig, Germany",https://www.study.eu/university/technische-universitat-braunschweig/master-artificial-intelligence-for-molecular-sciences
Universidad Politécnica de Madrid,Artificial Intelligence for Public Services,Master,"13,846 USD in total (students from outside EU/EEA)",1 year (60 ECTS),N/A,"Madrid, Spain + 1 more campus",https://www.study.eu/university/universidad-politecnica-de-madrid/master-artificial-intelligence-for-public-services
Deggendorf Institute of Technology,Artificial Intelligence for Smart Sensors and Actuators,MEng,N/A,1.5 years full-time,N/A,"Deggendorf, Germany",https://www.study.eu/university/deggendorf-institute-of-technology/meng-artificial-intelligence-for-smart-sensors-and-actuators
Tallinn University,Artificial Intelligence for Sustainable Societies,Master,"9,231 USD in total (students from outside EU/EEA)",2 years,N/A,"Tallinn, Estonia",https://www.study.eu/university/tallinn-university/master-artificial-intelligence-for-sustainable-societies
Newcastle University Business School,Artificial Intelligence in Business,MSc,N/A,1 year full-time,N/A,"Newcastle upon Tyne, United Kingdom",https://www.study.eu/university/newcastle-university-business-school/msc-artificial-intelligence-in-business
KU Leuven,Artificial Intelligence in Business and Industry,AdvM,N/A,1 year (60 ECTS) full-time,N/A,"Bruges, Belgium",https://www.study.eu/university/ku-leuven/advm-artificial-intelligence-in-business-and-industry
University of Essex,Artificial Intelligence in Finance,MSc,"31,349 USD in total (students from outside EU/EEA)",1 year full-time / part-time,N/A,"Colchester, United Kingdom",https://www.study.eu/university/university-of-essex/msc-artificial-intelligence-in-finance
Queen Mary University of London,Artificial Intelligence in the Biosciences,MSc,N/A,1 year full-time,N/A,"London, United Kingdom",https://www.study.eu/university/queen-mary-university-of-london/msc-artificial-intelligence-in-the-biosciences
University of Limerick,Artificial Intelligence & Machine Learning,MSc,N/A,1 year full-time,N/A,"Limerick, Ireland",https://www.study.eu/university/university-of-limerick/artificial-intelligence-machine-learning
Atlantic Technological University,Artificial Intelligence Research,MSc,N/A,1 year full-time / part-time,N/A,"Letterkenny, Ireland",https://www.study.eu/university/atlantic-technological-university/artificial-intelligence-research
University of Applied Sciences Upper Austria,Artificial Intelligence Solutions,BSc,N/A,3 years (180 ECTS),N/A,"Wels, Austria",https://www.study.eu/university/university-of-applied-sciences-upper-austria/bsc-artificial-intelligence-solutions
EPITA,Artificial Intelligence Systems,MSc,"20,770 USD in total (students from outside EU/EEA)",1.5 years,N/A,"Paris, France",https://www.study.eu/university/epita/artificial-intelligence-systems
Northeastern University London,Artificial Intelligence & Technology Leadership,MSc,"33,217 USD in total (students from outside EU/EEA)",1 year full-time / part-time,N/A,"London, United Kingdom",https://www.study.eu/university/northeastern-university-london/msc-artificial-intelligence-technology-leadership
ArtEZ University of the Arts,Artist Educator,Master,N/A,1 year full-time,N/A,"Arnhem, Netherlands",https://www.study.eu/university/artez-university-of-the-arts/master-artist-educator
"Bard College Berlin, A Liberal Arts University",Artistic Practice and Society,BA,N/A,N/A,N/A,"Berlin, Germany",https://www.study.eu/university/bard-college-berlin-a-liberal-arts-university/ba-artistic-practice-and-society
Norwegian Academy of Music,Artist­ic Research,PhD,N/A,3 years (180 ECTS) full-time,N/A,"Oslo, Norway",https://www.study.eu/university/norwegian-academy-of-music/phd-artist-ic-research
University of the Arts The Hague,Artistic Research,MA,N/A,2 years (120 ECTS) full-time,N/A,"The Hague, Netherlands",https://www.study.eu/university/university-of-the-arts-the-hague/ma-artistic-research
University of Applied Arts Vienna,Artistic Research,PhD,N/A,3 years (180 ECTS),N/A,"Vienna, Austria",https://www.study.eu/university/university-of-applied-arts-vienna/phd-artistic-research
"Goldsmiths, University of London",Artists' Film,MA,"27,481 USD in total (students from outside EU/EEA)",1 year full-time,N/A,"London, United Kingdom",https://www.study.eu/university/goldsmiths-university-of-london/artists-film
"Goldsmiths, University of London",Artist Teachers and Contemporary Practices,MA,"24,973 USD in total (students from outside EU/EEA)",1 year full-time,N/A,"London, United Kingdom",https://www.study.eu/university/goldsmiths-university-of-london/artist-teachers-and-contemporary-practices
Iscte - University Institute of Lisbon,Art Markets,Master,N/A,N/A,N/A,"Lisbon, Portugal",https://www.study.eu/university/iscte-university-institute-of-lisbon/master-art-markets
University of Zurich,Art Market Studies,Master,N/A,65 ECTS,N/A,"Zurich, Switzerland",https://www.study.eu/university/university-of-zurich/art-market-studies
University of the Arts London,Art: Moving Image,MSc,N/A,2 years full-time,N/A,"London, United Kingdom",https://www.study.eu/university/university-of-the-arts-london/art-moving-image
Newcastle University,Art Museum and Gallery Practice,Master,N/A,2 years full-time,N/A,"Newcastle upon Tyne, United Kingdom",https://www.study.eu/university/newcastle-university/art-museum-and-gallery-practice
Newcastle University,Art Museum and Gallery Studies,MA,N/A,1 year full-time,N/A,"Newcastle upon Tyne, United Kingdom",https://www.study.eu/university/newcastle-university/art-museum-and-gallery-studies
University of Dundee,Art & Philosophy,BA (Hons),"72,638 USD in total (students from outside EU/EEA)",3 years,N/A,"Dundee, United Kingdom",https://www.study.eu/university/university-of-dundee/art-philosophy
"Goldsmiths, University of London",Art Practice and Learning,MPhil,"52,427 USD in total (students from outside EU/EEA)",3 years full-time,N/A,"London, United Kingdom",https://www.study.eu/university/goldsmiths-university-of-london/art-practice-and-learning
TU Shannon,Art Psyche and the Creative Imagination,MA,N/A,3 years full-time,N/A,"Limerick, Ireland",https://www.study.eu/university/tu-shannon/ma-art-psyche-and-the-creative-imagination
"Goldsmiths, University of London",Art Psychotherapy,MA,"44,476 USD in total (students from outside EU/EEA)",2 years full-time,N/A,"London, United Kingdom",https://www.study.eu/university/goldsmiths-university-of-london/art-psychotherapy-5472
"Goldsmiths, University of London",Art Psychotherapy,MPhil,"44,743 USD in total (students from outside EU/EEA)",2 years full-time,N/A,"London, United Kingdom",https://www.study.eu/university/goldsmiths-university-of-london/art-psychotherapy
"Dún Laoghaire Institute of Art, Design and Technology (IADT)",Art + Research collaboration,MA,N/A,N/A,N/A,"Dublin, Ireland",https://www.study.eu/university/dun-laoghaire-institute-of-art-design-and-technology-iadt/ma-art-research-collaboration
University of Limerick,Arts,BA,N/A,4 years,N/A,"Limerick, Ireland",https://www.study.eu/university/university-of-limerick/arts-bba90590-e35d-4840-9ee0-9da9fdc6caec
University College Cork (UCC),Arts,BA (Hons),N/A,4 years,N/A,"Cork, Ireland",https://www.study.eu/university/university-college-cork-ucc/arts-e3300bf6-ac6f-41bd-8ed3-6c4ff3cd1169
Maynooth University,Arts,BA,N/A,N/A,N/A,"Maynooth, Ireland",https://www.study.eu/university/maynooth-university/arts
Jan Kochanowski University of Kielce,Arts,Bachelor,N/A,N/A,N/A,"Kielce, Poland",https://www.study.eu/university/jan-kochanowski-university-of-kielce/bachelor-arts
Arts University Bournemouth,Arts,MRes,N/A,1 year full-time / part-time,N/A,"Poole, United Kingdom",https://www.study.eu/university/arts-university-bournemouth/arts-21340
Jan Kochanowski University of Kielce,Arts,Master,N/A,N/A,N/A,"Kielce, Poland",https://www.study.eu/university/jan-kochanowski-university-of-kielce/master-arts
University of Galway,Arts,BA,N/A,3 years,N/A,"Galway, Ireland",https://www.study.eu/university/university-of-galway/arts-9a30c7c2-e1b2-4007-85c2-17efdce671c2
"Goldsmiths, University of London",Arts Administration and Cultural Policy,MA,"22,371 USD in total (students from outside EU/EEA)",1 year full-time,N/A,"London, United Kingdom",https://www.study.eu/university/goldsmiths-university-of-london/arts-administration-and-cultural-policy
Université de Liège,Arts and art sciences,PhD,N/A,N/A,N/A,"Liège, Belgium",https://www.study.eu/university/universite-de-liege/arts-and-art-sciences-b1344d28-df3a-4883-851d-26f27692c0a0
Université catholique de Louvain,Arts and art sciences,PhD,N/A,N/A,N/A,"Louvain-la-Neuve, Belgium",https://www.study.eu/university/universite-catholique-de-louvain/arts-and-art-sciences
"Goldsmiths, University of London",Arts and Computational Technology,MPhil,"36,686 USD in total (students from outside EU/EEA)",2 years full-time,N/A,"London, United Kingdom",https://www.study.eu/university/goldsmiths-university-of-london/arts-and-computational-technology
London South Bank University,Arts and Creative Industries,MRes,N/A,1 year full-time,N/A,"London, United Kingdom",https://www.study.eu/university/london-south-bank-university/arts-and-creative-industries-5482
London South Bank University,Arts and Creative Industries,PhD,N/A,3 years full-time,N/A,"London, United Kingdom",https://www.study.eu/university/london-south-bank-university/arts-and-creative-industries
University of the Arts London,Arts and Cultural Enterprise,MSc,N/A,2 years full-time / part-time,N/A,"London, United Kingdom",https://www.study.eu/university/university-of-the-arts-london/arts-and-cultural-enterprise
University of Southampton,Arts and Cultural Leadership,MA,N/A,N/A,N/A,"Southampton, United Kingdom",https://www.study.eu/university/university-of-southampton/ma-arts-and-cultural-leadership
UIC Barcelona,Arts and Cultural Management,Master,N/A,1 year (60 ECTS) full-time,N/A,"Barcelona, Spain",https://www.study.eu/university/uic-barcelona/arts-and-cultural-management
Leiden University,Arts and Culture,MA,N/A,1 year (60 ECTS) full-time,N/A,"Leiden, Netherlands",https://www.study.eu/university/leiden-university/arts-and-culture-5719
University of Groningen,Arts and Culture,MA,N/A,1 year (60 ECTS) full-time,N/A,"Groningen, Netherlands",https://www.study.eu/university/university-of-groningen/ma-arts-and-culture-28332
Leiden University,Arts and Culture: Art and Architecture before 1800,MA,N/A,1 year (60 ECTS) full-time,N/A,"Leiden, Netherlands",https://www.study.eu/university/leiden-university/arts-and-culture-art-and-architecture-before-1800
Leiden University,Arts and Culture: Art of the Contemporary World and World Art Studies,MA,N/A,1 year (60 ECTS) full-time,N/A,"Leiden, Netherlands",https://www.study.eu/university/leiden-university/arts-and-culture-art-of-the-contemporary-world-and-world-art
Leiden University,"Arts and Culture: Design, Culture & Society",MA,N/A,1 year (60 ECTS) full-time,N/A,"Leiden, Netherlands",https://www.study.eu/university/leiden-university/arts-and-culture-design-culture-society
Leiden University,Arts and Culture: Early Modern and Medieval Art,MA,N/A,1.5 years (60 ECTS) full-time,N/A,"Leiden, Netherlands",https://www.study.eu/university/leiden-university/arts-and-culture-early-modern-and-medieval-art
Leiden University,Arts and Culture: Museums and Collections,MA,N/A,1 year (60 ECTS) full-time,N/A,"Leiden, Netherlands",https://www.study.eu/university/leiden-university/arts-and-culture-museums-and-collections
Leiden University,Arts and Culture (Research),MA,N/A,2 years (120 ECTS) full-time,N/A,"Leiden, Netherlands",https://www.study.eu/university/leiden-university/arts-and-culture-research
University of Groningen,Arts and Culture (Research),MA,N/A,1 year (60 ECTS) full-time,N/A,"Groningen, Netherlands",https://www.study.eu/university/university-of-groningen/ma-arts-culture-research
De Montfort University,Arts and Festivals Management,BA (Hons),N/A,3 years,N/A,"Leicester, United Kingdom",https://www.study.eu/university/de-montfort-university/arts-and-festivals-management
De Montfort University,Arts and Festivals Management (Joint Honours),BA (Hons),N/A,3 years,N/A,"Leicester, United Kingdom",https://www.study.eu/university/de-montfort-university/arts-and-festivals-management-joint-honours
"Birkbeck, University of London",Arts and Humanities,MPhil,"30,616 USD in total (students from outside EU/EEA)",2 years full-time,N/A,"London, United Kingdom",https://www.study.eu/university/birkbeck-university-of-london/arts-and-humanities
The Open University,Arts and Humanities,BA (Hons),N/A,180 ECTS part-time,N/A,United Kingdom – programme delivered online,https://www.study.eu/university/the-open-university/arts-and-humanities-2c413489-e810-4f2e-9b39-55539557c3cc
The Open University,Arts and Humanities (Art History),BA (Hons),N/A,180 ECTS part-time,N/A,United Kingdom – programme delivered online,https://www.study.eu/university/the-open-university/arts-and-humanities-art-history
The Open University,Arts and Humanities (Classical Studies),BA (Hons),N/A,180 ECTS part-time,N/A,United Kingdom – programme delivered online,https://www.study.eu/university/the-open-university/arts-and-humanities-classical-studies
The Open University,Arts and Humanities (Creative Writing),BA (Hons),N/A,180 ECTS part-time,N/A,United Kingdom – programme delivered online,https://www.study.eu/university/the-open-university/arts-and-humanities-creative-writing
The Open University,Arts and Humanities (English Language),BA (Hons),N/A,180 ECTS part-time,N/A,United Kingdom – programme delivered online,https://www.study.eu/university/the-open-university/arts-and-humanities-english-language
The Open University,Arts and Humanities (English Literature),BA (Hons),N/A,180 ECTS part-time,N/A,United Kingdom – programme delivered online,https://www.study.eu/university/the-open-university/arts-and-humanities-english-literature
The Open University,Arts and Humanities (French),BA (Hons),N/A,180 ECTS part-time,N/A,United Kingdom – programme delivered online,https://www.study.eu/university/the-open-university/arts-and-humanities-french
The Open University,Arts and Humanities (German),BA (Hons),N/A,180 ECTS part-time,N/A,United Kingdom – programme delivered online,https://www.study.eu/university/the-open-university/arts-and-humanities-german
The Open University,Arts and Humanities (History),BA (Hons),N/A,180 ECTS part-time,N/A,United Kingdom – programme delivered online,https://www.study.eu/university/the-open-university/arts-and-humanities-history
The Open University,Arts and Humanities (Music),BA (Hons),N/A,180 ECTS part-time,N/A,United Kingdom – programme delivered online,https://www.study.eu/university/the-open-university/arts-and-humanities-music
The Open University,Arts and Humanities (Philosophy),BA (Hons),N/A,180 ECTS part-time,N/A,United Kingdom – programme delivered online,https://www.study.eu/university/the-open-university/arts-and-humanities-philosophy
The Open University,Arts and Humanities (Religious Studies),BA (Hons),N/A,180 ECTS part-time,N/A,United Kingdom – programme delivered online,https://www.study.eu/university/the-open-university/arts-and-humanities-religious-studies
The Open University,Arts and Humanities (Spanish),BA (Hons),N/A,180 ECTS part-time,N/A,United Kingdom – programme delivered online,https://www.study.eu/university/the-open-university/arts-and-humanities-spanish
"Birkbeck, University of London",Arts and Media Management,BA (Hons),"56,029 USD in total (students from outside EU/EEA)",3 years full-time,N/A,"London, United Kingdom",https://www.study.eu/university/birkbeck-university-of-london/arts-and-media-management
"Birkbeck, University of London",Arts and Media Management with Foundation Year,BA (Hons),"74,706 USD in total (students from outside EU/EEA)",4 years full-time,N/A,"London, United Kingdom",https://www.study.eu/university/birkbeck-university-of-london/arts-and-media-management-with-foundation-year
Utrecht University,Arts and Society,MA,N/A,1 year (60 ECTS) full-time,N/A,"Utrecht, Netherlands",https://www.study.eu/university/utrecht-university/arts-and-society
University of Liverpool,Arts: Architecture,MRes,N/A,1 year full-time,N/A,"Liverpool, United Kingdom",https://www.study.eu/university/university-of-liverpool/arts-architecture
Newcastle University,"Arts, Business and Creativity",MA,N/A,1 year full-time,N/A,"Newcastle upon Tyne, United Kingdom",https://www.study.eu/university/newcastle-university/arts-business-and-creativity
University of the Arts The Hague,ArtScience,BA,N/A,4 years (240 ECTS) full-time,N/A,"The Hague, Netherlands",https://www.study.eu/university/university-of-the-arts-the-hague/ba-artscience
University of the Arts The Hague,ArtScience,MMus,N/A,2 years (120 ECTS) full-time,N/A,"The Hague, Netherlands",https://www.study.eu/university/university-of-the-arts-the-hague/mmus-artscience
University of Applied Arts Vienna,Art & Science,MA,N/A,2 years (120 ECTS),N/A,"Vienna, Austria",https://www.study.eu/university/university-of-applied-arts-vienna/ma-art-science
ITMO University,Art & Science,Master,N/A,2 years (120 ECTS),N/A,"Saint Petersburg, Russia",https://www.study.eu/university/itmo-university/art-science
University of Groningen,"Arts, Cognition and Criticism",MA,N/A,1 year (60 ECTS) full-time,N/A,"Groningen, Netherlands",https://www.study.eu/university/university-of-groningen/ma-arts-cognition-and-criticism
University of Liverpool,Arts: Communication and Media,MRes,N/A,1 year full-time,N/A,"Liverpool, United Kingdom",https://www.study.eu/university/university-of-liverpool/arts-communication-and-media
King's College London,Arts & Cultural Management,MA,N/A,1 year (90 ECTS) full-time / part-time,N/A,"London, United Kingdom",https://www.study.eu/university/king-s-college-london/arts-cultural-management
University for the Creative Arts,Arts & Cultural Management,BSc (Hons),N/A,3 years full-time,N/A,"Farnham, United Kingdom",https://www.study.eu/university/university-for-the-creative-arts/arts-cultural-management-22064
Burgundy School of Business (BSB),Arts & Cultural Management,MSc,"16,154 USD in total (students from outside EU/EEA)",1 year (60 ECTS),N/A,"Dijon, France",https://www.study.eu/university/burgundy-school-of-business-bsb/arts-cultural-management-18903
University of Groningen,"Arts, Culture and Media",BA,N/A,3 years (180 ECTS) full-time,N/A,"Groningen, Netherlands",https://www.study.eu/university/university-of-groningen/ba-arts-culture-and-media
VU Amsterdam,Arts & Culture: Comparative Arts and Media Studies,Master,N/A,1 year (60 ECTS) full-time,N/A,"Amsterdam, Netherlands",https://www.study.eu/university/vu-amsterdam/master-arts-culture-comparative-arts-and-media-studies
VU Amsterdam,Arts & Culture: Contemporary Art History,Master,N/A,1 year (60 ECTS) full-time,N/A,"Amsterdam, Netherlands",https://www.study.eu/university/vu-amsterdam/master-arts-culture-contemporary-art-history
VU Amsterdam,Arts & Culture: Design Cultures,Master,N/A,1 year (60 ECTS) full-time,N/A,"Amsterdam, Netherlands",https://www.study.eu/university/vu-amsterdam/master-arts-culture-design-cultures
Aalto University,Arts Design and Architecture,PhD,N/A,4 years full-time,N/A,"Helsinki, Finland",https://www.study.eu/university/aalto-university/phd-arts-design-and-architecture
University of Limerick,Arts in Applied Languages,BA,N/A,4 years,N/A,"Limerick, Ireland",https://www.study.eu/university/university-of-limerick/arts-in-applied-languages
University of Limerick,Arts in Law and Accounting,BA,N/A,4 years,N/A,"Limerick, Ireland",https://www.study.eu/university/university-of-limerick/arts-in-law-and-accounting
University of Limerick,Arts in Performing Arts,BA,N/A,4 years,N/A,"Limerick, Ireland",https://www.study.eu/university/university-of-limerick/arts-in-performing-arts
Dublin City University (DCU),Arts: Joint Honours,BA,N/A,N/A,N/A,"Dublin, Ireland",https://www.study.eu/university/dublin-city-university-dcu/arts-joint-honours
Dublin City University (DCU),Arts: Joint Honours (Humanities),BA,N/A,3 years full-time,N/A,"Dublin, Ireland",https://www.study.eu/university/dublin-city-university-dcu/arts-joint-honours-humanities
Dublin City University (DCU),Arts: Joint Honours (Languages),BSc,N/A,3 years full-time,N/A,"Dublin, Ireland",https://www.study.eu/university/dublin-city-university-dcu/arts-joint-honours-languages
Dublin City University (DCU),Arts: Joint Honours (Law),BA,N/A,3 years full-time,N/A,"Dublin, Ireland",https://www.study.eu/university/dublin-city-university-dcu/arts-joint-honours-law
Dublin City University (DCU),Arts: Joint Honours (Media Studies),BA,N/A,3 years full-time,N/A,"Dublin, Ireland",https://www.study.eu/university/dublin-city-university-dcu/arts-joint-honours-media-studies
Dublin City University (DCU),Arts: Joint Honours (Politics),BA,N/A,3 years full-time,N/A,"Dublin, Ireland",https://www.study.eu/university/dublin-city-university-dcu/arts-joint-honours-politics
"Goldsmiths, University of London",Arts Management,BA (Hons),N/A,3 years full-time,N/A,"London, United Kingdom",https://www.study.eu/university/goldsmiths-university-of-london/arts-management-32a50dc5-5efd-42b0-a028-d899c05aeef0
Jam Music Lab Private University,Arts Management,BA,N/A,3 years (180 ECTS) full-time,N/A,"Vienna, Austria",https://www.study.eu/university/jam-music-lab-private-university/ba-arts-management
Middlesex University London,Arts Management,MA,"18,009 USD in total (students from outside EU/EEA)",1 year,N/A,"London, United Kingdom",https://www.study.eu/university/middlesex-university-london/arts-management-10431
"Dún Laoghaire Institute of Art, Design and Technology (IADT)",Arts Management,BA (Hons),N/A,4 years,N/A,"Dublin, Ireland",https://www.study.eu/university/dun-laoghaire-institute-of-art-design-and-technology-iadt/ba-hons-arts-management
"Birkbeck, University of London",Arts Management,MPhil,"30,616 USD in total (students from outside EU/EEA)",2 years full-time,N/A,"London, United Kingdom",https://www.study.eu/university/birkbeck-university-of-london/arts-management
Royal Welsh College of Music and Drama,Arts Management,MA,N/A,1 year full-time,N/A,"Cardiff, United Kingdom",https://www.study.eu/university/royal-welsh-college-of-music-and-drama/arts-management-5486
University College Cork (UCC),Arts Management and Creative Producing,MA,N/A,1 year,N/A,"Cork, Ireland",https://www.study.eu/university/university-college-cork-ucc/arts-management-and-creative-producing
University of Manchester,Arts Management and Policy and Practice,MA,"20,677 USD in total (students from outside EU/EEA)",1 year full-time,N/A,"Manchester, United Kingdom",https://www.study.eu/university/university-of-manchester/arts-management-and-policy-and-practice
University of the Arts Helsinki,Arts Management Master's Degree Programme,Master,N/A,150 ECTS full-time,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-the-arts-helsinki/arts-management-master-s-degree-programme
University of Groningen,"Arts, Media and Literary Studies (Research)",MA,N/A,1 year (60 ECTS) full-time,N/A,"Groningen, Netherlands",https://www.study.eu/university/university-of-groningen/ma-arts-media-and-literary-studies-research
University College Cork (UCC),Arts - Music,BA (Hons),N/A,3 years,N/A,"Cork, Ireland",https://www.study.eu/university/university-college-cork-ucc/arts-music-3e044101-cd02-482e-9eee-802d6282d7ab
University of Liverpool,Arts: Music,MRes,N/A,1 year full-time,N/A,"Liverpool, United Kingdom",https://www.study.eu/university/university-of-liverpool/arts-music
University of Liverpool,Arts: Philosophy,MRes,N/A,1 year full-time,N/A,"Liverpool, United Kingdom",https://www.study.eu/university/university-of-liverpool/arts-philosophy
University of Groningen,"Arts, Policy and Cultural Entrepreneurship",MA,N/A,1 year (60 ECTS) full-time,N/A,"Groningen, Netherlands",https://www.study.eu/university/university-of-groningen/ma-arts-policy-and-cultural-entrepreneurship
"Birkbeck, University of London",Arts Policy and Management,MA,"19,276 USD in total (students from outside EU/EEA)",1 year full-time,N/A,"London, United Kingdom",https://www.study.eu/university/birkbeck-university-of-london/arts-policy-and-management
De Montfort University,Arts research degree,MPhil,N/A,N/A,N/A,"Leicester, United Kingdom",https://www.study.eu/university/de-montfort-university/arts-research-degree
Dublin City University (DCU),Arts (Single Module),BA,N/A,N/A,N/A,"Dublin, Ireland",https://www.study.eu/university/dublin-city-university-dcu/arts-single-module
